eta,NLL,in_95_contour
0.001,0.710043254334263342808656126008,True
0.0012589254117941675,0.710045019914161816143039831741,True
0.001584893192461114,0.710047242662375154602591036431,True
0.001995262314968879,0.710050040960061482495581815555,True
0.0025118864315095794,0.710053563845336669411698470024,True
0.0031622776601683794,0.710057998954103910367178770691,True
0.003981071705534973,0.710063582518699747988309615555,True
0.005011872336272725,0.710070611958191785163224250564,True
0.00630957344480193,0.710079461732980240713898432384,True
0.007943282347242814,0.710090603311462847268302534086,True
0.01,0.710104630317520128340183104811,True
0.012589254117941675,0.710122290206670206586717278725,True
0.015848931924611134,0.710144524171482163088356445552,True
0.0199526231496888,0.710172517423104355381207964289,True
0.025118864315095794,0.710207762561061353257640938917,True
0.03162277660168379,0.710252139460660130010082955345,True
0.039810717055349734,0.710308016018988755591102829015,True
0.05011872336272722,0.710378375262079379818425000532,True
0.06309573444801933,0.710466975800225105228498368203,True
0.07943282347242814,0.710578554522255128153911308,True
0.1,0.710719082872020562840704590891,True
0.12589254117941673,0.710896091226344606130658370519,True
0.15848931924611134,0.711119080032972273668133110877,True
0.19952623149688797,0.711400041802639454019525653087,True
0.251188643150958,0.711754125250594138270516706507,True
0.31622776601683794,0.712200482521132868889783471575,True
0.3981071705534972,0.712763353479209227955538625568,True
0.5011872336272722,0.713473458954516834885317084733,True
0.6309573444801932,0.714369799730449150216091847902,True
0.7943282347242815,0.715501993259870921585595727577,True
1.0,0.716933330620403467161859098227,True
1.2589254117941673,0.718744810021558256415316800622,True
1.5848931924611136,0.721040512858995747308738423391,True
1.9952623149688795,0.723954854268296897420386363573,True
2.51188643150958,0.727662495875094665190255711392,True
3.1622776601683795,0.732392110041183834211596051035,True
3.9810717055349722,0.738445828018806308758801452471,True
5.011872336272722,0.746227255741238698023925637251,True
6.309573444801933,0.756282697938344198212977874089,True
7.943282347242816,0.769363238685667888361333101389,True
